GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,iso3,Latitude,Longitude,Plant age (years),capacity_ttpa,n_operating_units,Main production equipment,litpop_value_usd,litpop_sum_25km_usd,litpop_ncells_25km,litpop_cell_lat,litpop_cell_lon,match_distance_km
P100000120177,Ezhou Hongtai Steel Co Ltd,Ezhou Hongtai Steel Co Ltd,Hubei Jinshenglan Metallurgical Technology Co Ltd [62.6%]; Yuncheng Investment (Fujian) Co Ltd [9.1%]; Fujian Yongxinqi Investment Co Ltd [6.8%]; Fujian Taisong Investment Co Ltd [4.9%]; Fujian Jinkun Investment Co Ltd [4.2%]; Fuzhou Deyu Investment Co Ltd [3.6%]; Fujian Qikun Investment Co Ltd [2.5%]; Fujian Hongyao Investment Co Ltd [2.4%]; Fujian Shunle Investment Co Ltd [1.9%]; unknown [1.9%],China,Asia Pacific,CHN,30.532352,114.747597,22.75,,0,EAF,1723280956.9704273,50338083287.13734,26,30.54166667,114.70833333,3.9004115390913414
P100000120371,Fangchenggang Jinxi Steel Technology Co Ltd,Fangchenggang Jinxi Steel Technology Co Ltd,Qian'an City Jiujiang Wire Co Ltd [100.0%],China,Asia Pacific,CHN,21.646525,108.369582,,,0,BF; BOF,954514098.9683073,2871373789.8433514,10,21.70833333,108.375,6.895546775859627
P100000120211,Fangda Special Steel Technology Co Ltd,Fangda Special Steel Technology Co Ltd,Fangda Special Steel Technology Co Ltd [100.0%],China,Asia Pacific,CHN,28.645441,115.99204,67.55,2800.0,1,BF; BOF,30850521591.191532,287519023382.4145,26,28.625,115.95833333,3.9984567293338507
P100001063598,Fengshun Changsheng Special Steel Casting Co Ltd Qingyuan Branch,Fengshun Changsheng Precision Steel Casting Co Ltd,Fengshun Changsheng Precision Steel Casting Co Ltd [100.0%],China,Asia Pacific,CHN,23.507015,112.953822,17.0,620.0,1,EAF,1746497357.0257854,54416334496.484634,24,23.54166667,112.95833333,3.8804502251876243
P100001063602,Fengshun County Agricultural Machinery Continuous Casting Co,Fengshun County Agricultural Machinery Continuous Casting Co,Fengshun County Agricultural Machinery Continuous Casting Co [100.0%],China,Asia Pacific,CHN,23.748318,116.13985,22.85,720.0,1,EAF,453215982.2079722,18595122169.250225,26,23.70833333,116.125,4.696051387422843
P100001063619,Fengshun County Dongfang Metal Continuous Casting Co Ltd,Fengshun County Dongfang Metal Casting Co Ltd,Fengshun County Dongfang Metal Casting Co Ltd [100.0%],China,Asia Pacific,CHN,23.749104,116.138262,22.6,930.0,1,EAF,453215982.2079722,18595122169.250225,26,23.70833333,116.125,4.730233501820594
P100001063490,Fengshun County Hongbao Industrial Co Ltd,Fengshun County Hongbao Industrial Co Ltd,Fengshun County Hongbao Industrial Co Ltd [100.0%],China,Asia Pacific,CHN,23.720136,115.949449,32.93,720.0,1,EAF,1404595.2279711333,2966919509.507821,24,23.70833333,115.95833333,1.5938859546678927
P100001063483,Fengshun Yongshun Continuous Casting Plant,Fengshun Yongshun Continuous Casting Plant,Fengshun Yongshun Continuous Casting Plant [100.0%],China,Asia Pacific,CHN,23.747173,116.126241,19.27,720.0,1,EAF,453215982.2079722,18975260557.072334,25,23.70833333,116.125,4.320627434360645
P100001062842,"Fogang Dawei Special Steel Co., Ltd.",Fogang Dawei Special Steel Co Ltd,Fogang Dawei Special Steel Co Ltd [100.0%],China,Asia Pacific,CHN,23.893972,113.500829,14.29,575.0,1,EAF,794462578.72561,3471012556.4293585,26,23.875,113.54166667,4.657266511682017
P100000120345,Fujian Dadonghai Industrial Group Co Ltd plant,Fujian Great Dong Hai Industrial Group Co Ltd,Fujian Great Dong Hai Industrial Group Co Ltd [100.0%],China,Asia Pacific,CHN,25.737777,119.592239,8.0,5128.0,1,BF; BOF,548350467.9412751,33788256338.78718,11,25.70833333,119.54166667,6.031972102483921
P100000120314,Fujian Dingsheng Iron and Steel Co Ltd,Fujian Dingsheng Steel Co Ltd,Fujian Dingsheng Steel Co Ltd [100.0%],China,Asia Pacific,CHN,27.224477,120.328828,8.0,1726.0,1,EAF; BF; BOF,65973740.548705816,4145571679.748354,16,27.20833333,120.29166667,4.089688354463403
P100000121065,Fujian Dingxin Industrial Co Ltd,Fujian Dingxin Industry Co Ltd,Shanghai Decent Investment (Group) Co Ltd [36.4%]; unknown [20.4%]; TSINGSHAN Holding Group Co Ltd [19.8%]; Zhejiang Qingshan Business Management Co Ltd [15.6%]; DELIXI Group Limited Co [7.8%],China,Asia Pacific,CHN,26.7695,119.738519,18.0,600.0,1,EAF,11794218.386546498,3897674158.2296243,16,26.70833333,119.70833333,7.432693825311974
